appid,title
1938090,Call of Duty
2630,Call of Duty 2
2620,Call of Duty 2003
209650,Call of Duty Advanced Warfare  Gold Edition
42700,Call of Duty Black Ops
1985810,Call of Duty Black Ops Cold War
202970,Call of Duty Black Ops II
311210,Call of Duty Black Ops III
209160,Call of Duty Ghosts
292730,Call of Duty Infinite Warfare
2000950,Call of Duty Modern Warfare
10180,Call of Duty Modern Warfare 2 2009
115300,Call of Duty Modern Warfare 3
1962660,Call of Duty Modern Warfare II
2519060,Call of Duty Modern Warfare III
2640,Call of Duty United Offensive
1985820,Call of Duty Vanguard
1962663,Call of Duty Warzone
7940,Call of Duty Warzone
10090,Call of Duty World at War
476600,Call of Duty WWII
