appid,title
1056960,Wolfenstein Youngblood
612880,Wolfenstein II The New Colossus
201810,Wolfenstein The New Order
350080,Wolfenstein The Old Blood
1056970,Wolfenstein Cyberpilot
1151340,Fallout 76
377160,Fallout 4
22380,Fallout New Vegas
588430,Fallout Shelter
611660,Fallout 4 VR
22300,Fallout 3
2310,Quake
2320,Quake II
2210,Quake 4
282440,Quake Live
2200,Quake III Arena
379720,DOOM
782330,DOOM Eternal
208200,DOOM 3
2300,DOOM II
2280,DOOM 1993
1148590,DOOM 64
268050,The Evil Within
601430,The Evil Within 2
306130,The Elder Scrolls Online
205100,Dishonored
403640,Dishonored 2
