appid,title
1172470,Apex Legends
1238840,Battlefield 1
1517290,Battlefield 2042
1238820,Battlefield 3
1238860,Battlefield 4
1238880,Battlefield Hardline
1238810,Battlefield V
2195250,EA SPORTS FC 24
1811260,EA SPORTS FIFA 23
2108330,F1 23
703860,GRID
1307710,GRID Legends
32440,LEGO Star Wars  The Complete Saga
32510,LEGO Star Wars III  The Clone Wars
920210,LEGO Star Wars The Skywalker Saga
2362420,Mass Effect 2 2010 Edition
17460,Mass Effect 2007
1238020,Mass Effect 3 N7 Digital Deluxe Edition 2012
1238000,Mass Effect Andromeda Deluxe Edition
1328670,Mass Effect Legendary Edition
1262540,Need for Speed
1222680,Need for Speed Heat
47870,Need For Speed Hot Pursuit
1328660,Need for Speed Hot Pursuit Remastered
1262560,Need for Speed Most Wanted
1262580,Need for Speed Payback
1262600,Need for Speed Rivals
24870,Need for Speed Shift
1846380,Need for Speed Unbound
32400,STAR WARS  Dark Forces
1237980,STAR WARS Battlefront
1237950,STAR WARS Battlefront II
1172380,STAR WARS Jedi Fallen Order
1774580,STAR WARS Jedi Survivor
441550,STAR WARS Rebellion
1222730,STAR WARS Squadrons
32350,STAR WARS Starfighter
1286830,STAR WARS The Old Republic
1487210,Super Mega Baseball 4
47890,The Sims 3
1222670,The Sims 4
