appid,title
12170,Grand Theft Auto
12180,Grand Theft Auto 2
1546970,Grand Theft Auto III  The Definitive Edition
12210,Grand Theft Auto IV The Complete Edition
1547000,Grand Theft Auto San Andreas  The Definitive Edition
271590,Grand Theft Auto V
1546990,Grand Theft Auto Vice City  The Definitive Edition
1240440,Halo Infinite
277430,Halo Spartan Assault
324570,Halo Spartan Strike
976730,Halo The Master Chief Collection
459220,Halo Wars Definitive Edition
1250410,Microsoft Flight Simulator 40th Anniversary Edition
314160,Microsoft Flight Simulator X Steam Edition
578080,PUBG BATTLEGROUNDS
1404210,Red Dead Online
1174180,Red Dead Redemption 2
252490,Rust
