appid,title
1281630,Anno 1404  History Edition
916440,Anno 1800
48240,Anno 2070
375910,Anno 2205
33230,Assassins Creed 2
48190,Assassins Creed Brotherhood
354380,Assassins Creed Chronicles China
359610,Assassins Creed Chronicles India
359600,Assassins Creed Chronicles Russia
911400,Assassins Creed III Remastered
242050,Assassins Creed IV Black Flag
812140,Assassins Creed Odyssey
201870,Assassins Creed Revelations
311560,Assassins Creed Rogue
368500,Assassins Creed Syndicate
289650,Assassins Creed Unity
2208920,Assassins Creed Valhalla
582160,AssassinsCreed Origins
291550,Brawlhalla
13520,Far Cry
19900,Far Cry 2
220240,Far Cry 3
233270,Far Cry 3  Blood Dragon
298110,Far Cry 4
552520,Far Cry 5
2369390,Far Cry 6
939960,Far Cry New Dawn
371660,Far Cry Primal
304390,FOR HONOR
19980,Prince of Persia
33320,Prince of Persia The Forgotten Sands
13600,Prince of Persia The Sands of Time
13530,Prince of Persia The Two Thrones
13500,Prince of Persia Warrior Within
2290180,Riders Republic
241560,The Crew
646910,The Crew 2
21800,Tom Clancys EndWar
15300,Tom Clancys Ghost Recon
2231380,Tom Clancys Ghost Recon Breakpoint
460930,Tom Clancys Ghost Recon Wildlands
19830,Tom Clancys Rainbow Six 3 Gold
2379390,Tom Clancys Rainbow Six Extraction
15000,Tom Clancys Rainbow Six Lockdown
359550,Tom Clancys Rainbow Six Siege
13540,Tom Clancys Rainbow Six Vegas
15120,Tom Clancys Rainbow Six Vegas 2
13560,Tom Clancys Splinter Cell
235600,Tom Clancys Splinter Cell Blacklist
33220,Tom Clancys Splinter Cell Conviction
13580,Tom Clancys Splinter Cell Double Agent
365590,Tom Clancys The Division
2221490,Tom Clancys The Division 2
2225070,Trackmania
243470,Watch Dogs
447040,Watch Dogs 2
2239550,Watch Dogs Legion
